English	Fira	Logic	Formula	Matches?	Notes
Protectorate	Zemnoşeda	World + Group	=createWord($C205, 3)	=IF(D205=B205, "Y", "N")	-
Query	Puyta	-	=addGender("Puyt", "f")	=IF(D206=B206, "Y", "N")	-
Rabbit	Nakeşeṉī	To Jump + Animal	=createWord($C207, 1, 1)	=IF(D207=B207, "Y", "N")	-
Rain	Nanapłynī	Sky + Water	=createWord($C208, 4, 1)	=IF(D208=B208, "Y", "N")	-
Recording	Łacvymişa	Circuit + Speaker	=createWord($C209, 5)	=IF(D209=B209, "Y", "N")	-
Reflection	Ƶoṉepū	N Object of To Reflect	=createWord($C210, 0)	=IF(D210=B210, "Y", "N")	-
Regrowth	Ƶyvepoṉū	To Grow + Return	=createWord($C211, 2, 2)	=IF(D211=B211, "Y", "N")	-
Reproduction	Yopūoṉū	To Produce + Return	=createWord($C212, 1, 3)	=IF(D212=B212, "Y", "N")	-
Return	Kepoṉū	To Go + Start	=createWord($C213)	=IF(D213=B213, "Y", "N")	Going to the start = going back to where you came from - returning
River	Napłmurī	Water + Wind	=createWord($C214, 3, 1)	=IF(D214=B214, "Y", "N")	-
Robot	Łasaşeda	Tool + Person	=createWord($C215)	=IF(D215=B215, "Y", "N")	Mechanical Person
Rock	Zemī	-	=addGender("Zem", "m")	=IF(D216=B216, "Y", "N")	-
Rodent	Yurşī	-	=addGender("Yurş", "m")	=IF(D217=B217, "Y", "N")	-
Rope	Łayopūç	Tool + Join	=createWord($C218)	=IF(D218=B218, "Y", "N")	A tool that joins obejcts together
Sand	Mnozemī	Many + Rock	=createWord($C219, 3)	=IF(D219=B219, "Y", "N")	-
Scarf	Załupşama	Cloth + Neck	=createWord($C220, 2, 2)	=IF(D220=B220, "Y", "N")	-
Sea	Skoapłyami	Small + Ocean	=createWord($C221, 2, 1)	=IF(D221=B221, "Y", "N")	-
Seaside	Napłozemī	Ocean + Sand	=createWord($C222, 4, 2)	=IF(D222=B222, "Y", "N")	-
Seeing	Zovereva	F Instance of To See	=createWord($C223, 0)	=IF(D223=B223, "Y", "N")	-
Seven	Şimū	-	=addGender("Şim", "n")	=IF(D224=B224, "Y", "N")	Number
Seventy	Şimū-Pū	70	=numberWord(C225)	=IF(D225=B225, "Y", "N")	-
She	Rena	-	=addGender("Ren", "f")	=IF(D226=B226, "Y", "N")	-
Shirt	Brenłura	Chest + Cloth	=addGender(createWord($C227, 2, 2), "f", TRUE)	=IF(D227=B227, "Y", "N")	-
Shoe	Sopkryevī	Foot + Protection	=createWord($C228, 1)	=IF(D228=B228, "Y", "N")	-
Shorts	Skałurbī	Small + Trousers	=addGender(createWord($C229, 3, 1), "m", true)	=IF(D229=B229, "Y", "N")	Uses masc. ending (in contrast to Skirt)
Should	Mnolçima	Many + Time	=createWord($C230)	=IF(D230=B230, "Y", "N")	It will happen in many (but not all) of the possible futures
Simple	Bōvimū	-	=addGender("Bōvim", "n")	=IF(D231=B231, "Y", "N")	-
Six	Łislū	-	=addGender("Łisl", "n")	=IF(D232=B232, "Y", "N")	Number
Sixty	Łislū-Pū	60	=numberWord(C233)	=IF(D233=B233, "Y", "N")	-
Skirt	Skałurba	Small + Trousers	=addGender(createWord($C234, 3, 1), "f", true)	=IF(D234=B234, "Y", "N")	Uses fem. ending (in contrast to Shorts)
Sky	Naniami	Star + _Place	=createWord($C235, 1)	=IF(D235=B235, "Y", "N")	-
Slow	Ƶymurieda	Of + Slowness	=createWord($C236, 0)	=IF(D236=B236, "Y", "N")	-
Slowness	Murieda	Motion + Tired	=createWord($C237, 1, 3)	=IF(D237=B237, "Y", "N")	-
Sly	Zişomna	-	=addGender("Zişomn", "f")	=IF(D238=B238, "Y", "N")	-
Small	Skobī	-	=addGender("Skob", "m")	=IF(D239=B239, "Y", "N")	-
Snake	Zişeda	-	=addGender("Zişed", "f")	=IF(D240=B240, "Y", "N")	-
So	Lin	-	Lin	=IF(D241=B241, "Y", "N")	-
Sock	Sopzałurī	Foot + Wrap	=createWord($C242, 1)	=IF(D242=B242, "Y", "N")	-
Soft	Ƶyṉemī	_Opposite Quality + Rock	=createWord($C243, 1, 1)	=IF(D243=B243, "Y", "N")	-
Solar System	Mnolciłetmi	Many + Planet	=createWord($C244)	=IF(D244=B244, "Y", "N")	-
Some	Ƶapenū	-	=addGender("Ƶapen", "n")	=IF(D245=B245, "Y", "N")	-
Song	Çimvymiba	Time + Music	=createWord($C246, 1)	=IF(D246=B246, "Y", "N")	A song is a contained definite piece of music
Soul	Lotłū	-	=addGender("Lotł", "n")	=IF(D247=B247, "Y", "N")	-
Space	Ciłetṉū	Whole + Darkness	=createWord($C248, 1)	=IF(D248=B248, "Y", "N")	-
Speaker	Vymiçeşa	F Subject of To Speak	=stringWord(sliceWord(createWord($C249, 0), 0, -4), "şa", "")	=IF(D249=B249, "Y", "N")	=createWord(C249, 0)
Speed	Murīeda	Motion + Energy	=createWord($C250, 0, 2)	=IF(D250=B250, "Y", "N")	-
Spirit	Ƶyaçu	Air + Undead	=createWord($C251, 3, 3)	=IF(D251=B251, "Y", "N")	-
Spring	Palta	-	=AddGender("Palt", "f")	=IF(D252=B252, "Y", "N")	Season
Stable	Ƶtebī	-	=addGender("Ƶteb", "m")	=IF(D253=B253, "Y", "N")	i.e. Secure
Star	Nanū	High + Light	=createWord($C254, 2, 2)	=IF(D254=B254, "Y", "N")	-
Still	Ṉemurī	Not + Motion	=createWord($C255, 0)	=IF(D255=B255, "Y", "N")	As in 'not moving'
Suit	Suit	Smart + Shirt	=createWord(C256, 0)	=IF(D256=B256, "Y", "N")	Unfinished until 'smart' is translated
Summer	Viazda	-	=addGender("Viazd", "f")	=IF(D257=B257, "Y", "N")	Season
Survive	Yopaçū	To Own + Life	=createWord($C258, 1, 1)	=IF(D258=B258, "Y", "N")	-
Swimmer	Sanapłynī	Person + Motion + Water	=createWord($C259, 4, 0)	=IF(D259=B259, "Y", "N")	-
Swimming Suit	Sanapłurī	To Swim + Wrap	=createWord($C260, 3, 3)	=IF(D260=B260, "Y", "N")	-
Sword	Łazuvi	Tool + Cut	=createWord($C261)	=IF(D261=B261, "Y", "N")	-
T-Shirt	Tī-Brenłura	-	=stringWord("Tī", engToFira("Shirt"))	=IF(D262=B262, "Y", "N")	-
Temple	Sabiami	God + _Place	=createWord($C263, 1)	=IF(D263=B263, "Y", "N")	-
Ten	Şū-Pū	10	=numberWord(C264)	=IF(D264=B264, "Y", "N")	Numbers with multiple digits are formed by saying the value of each digit in order
The		-		=IF(D265=B265, "Y", "N")	Intentionally left blank. If no quantity is used before a noun then 'the' is assumed. Therefore no explicit word for 'the' is needed.
Them	Ƶpeło	Of + They	=createWord($C266, 1)	=IF(D266=B266, "Y", "N")	-
Themselves	Çepeło	Meta + They	=createWord($C267)	=IF(D267=B267, "Y", "N")	-
There	Metuna	Place + You_Sing	=createWord($C268, 4, 1)	=IF(D268=B268, "Y", "N")	-
They	Peło	-	=addGender("Peł", "p")	=IF(D269=B269, "Y", "N")	-
Thief	Napreşī	M Subject of To Take	=createWord($C270, 0)	=IF(D270=B270, "Y", "N")	-
Thirsty	Ciłeyna	To Need + Water	=addGender(createWord($C271, 4, 4), "f", TRUE)	=IF(D271=B271, "Y", "N")	-
Thirty	Puivū-Pū	30	=numberWord(C272)	=IF(D272=B272, "Y", "N")	-
Three	Puivū	-	=addGender("Puiv", "n")	=IF(D273=B273, "Y", "N")	Number
Time	Çima	-	=addGender("Çim", "f")	=IF(D274=B274, "Y", "N")	-
Tired	Ṉebieda	No + Energy	=createWord($C275, 0)	=IF(D275=B275, "Y", "N")	-
To Adventure	Krīne	-	=addGender("Krīn", "v")	=IF(D276=B276, "Y", "N")	Name of month 8 of the Zemian calendar
To Anger	Çesaşƶe	Verb of Anger	=createWord($C277, 0)	=IF(D277=B277, "Y", "N")	-
To Be	Uçe	-	=addGender("Uç", "v")	=IF(D278=B278, "Y", "N")	-
To Build	Yopzeme	Verb of Building	=createWord($C279, 0)	=IF(D279=B279, "Y", "N")	-
To Cause	Dovaçe	-	=addGender("Dovaç", "v")	=IF(D280=B280, "Y", "N")	-
To Complete	Ciłete	Verb of Complete	=createWord($C281, 0)	=IF(D281=B281, "Y", "N")	-
To Continue	Loçe	Verb of Continual	=createWord($C282, 0)	=IF(D282=B282, "Y", "N")	Name of month 16 of the Zemian calendar
To Cut	Zuçe	-	=addGender("Zuç", "v")	=IF(D283=B283, "Y", "N")	-
To Die	Zabeo	Passive of "To Kill" (see Passive Valency)	=compoundWord("To Kill", "_Passive Valency", 1)	=IF(D284=B284, "Y", "N")	-
To Drink	Navode	-	=addGender("Navod", "v")	=IF(D285=B285, "Y", "N")	-
To End	Ṉepoṉe	Verb of End	=createWord($C286, 0)	=IF(D286=B286, "Y", "N")	-
To Fight	Saşbiede	Verb of Fighter	=createWord($C287, 0)	=IF(D287=B287, "Y", "N")	-
To Follow	Ƶymure	Verb of Towards	=createWord($C288, 0)	=IF(D288=B288, "Y", "N")	-
To Freeze	Ciłede	Verb of Freeze	=createWord($C289, 0)	=IF(D289=B289, "Y", "N")	Name of month 15 of the Zemian calendar
To Give	Vaşe	-	=addGender("Vaş", "v")	=IF(D290=B290, "Y", "N")	-
To Go	Keşe	-	=addGender("Keş", "v")	=IF(D291=B291, "Y", "N")	-
To Grow	Ƶyveme	Verb of Grow	=createWord($C292, 0)	=IF(D292=B292, "Y", "N")	Name of month 12 of the Zemian calendar
To Harvest	Upūçyme	Verb of Harvest	=createWord($C293, 0)	=IF(D293=B293, "Y", "N")	Name of month 10 of the Zemian calendar
To Hide	Ṉvere	Not + To See	=createWord($C294, 1, 2)	=IF(D294=B294, "Y", "N")	Name of month 11 of the Zemian calendar
To Hold	Upūçe	Verb of Held	=createWord($C295, 0)	=IF(D295=B295, "Y", "N")	-
To Hunt	Zabedeṉe	Verb of Hunter	=createWord($C296, 0)	=IF(D296=B296, "Y", "N")	-
To Join	Yopūe	Verb of Join	=createWord($C297, 0)	=IF(D297=B297, "Y", "N")	-
To Jump	Nakeşe	High + To Go	=createWord($C298)	=IF(D298=B298, "Y", "N")	-
To Kill	Zabe	-	=addGender("Zab", "v")	=IF(D299=B299, "Y", "N")	-
To Meet	Çizovere	Time + To See	=createWord($C300)	=IF(D300=B300, "Y", "N")	-
To Mine	Pemezeme	Verb of Mine	=createWord($C301, 0)	=IF(D301=B301, "Y", "N")	-
To Need	Ciłeyope	All + To Have	=createWord($C302)	=IF(D302=B302, "Y", "N")	-
To Own	Yope	-	=addGender("Yop", "v")	=IF(D303=B303, "Y", "N")	-
To Pilgrimage	Sabikeşe	Temple + To Go	=createWord($C304, 3)	=IF(D304=B304, "Y", "N")	-
To Prepare	Valsmīe	-	=addGender("Valsmī", "v")	=IF(D305=B305, "Y", "N")	Name of month 1 of the Zemian calendar
To Progress	Ciłeçmure	Verb of Progress	=createWord($C306, 0)	=IF(D306=B306, "Y", "N")	Name of month 5 of the Zemian calendar
To Protect	Krye	-	=addGender("Kry", "v")	=IF(D307=B307, "Y", "N")	-
To Rain	Nanapłyne	Verb of Rain	=createWord($C308, 0)	=IF(D308=B308, "Y", "N")	-
To Reflect	Ƶoṉe	To Follow + To Return	=createWord($C309, 5, 3)	=IF(D309=B309, "Y", "N")	-
To Regrow	Ƶyvepoṉe	Verb of Regrowth	=createWord($C310, 0)	=IF(D310=B310, "Y", "N")	Name of month 2 of the Zemian calendar
To Relax	Ṉemurme	Verb of Leisure	=createWord($C311, 0)	=IF(D311=B311, "Y", "N")	-
To Reproduce	Yopūoṉe	Verb of Reproduction	=createWord($C312, 0)	=IF(D312=B312, "Y", "N")	Name of month 4 of the Zemian calendar
To Return	Kepoṉe	Verb of Return	=createWord($C313, 0)	=IF(D313=B313, "Y", "N")	-
To Say	Vymiçe	-	=addGender("Vymiç", "v")	=IF(D314=B314, "Y", "N")	-
To See	Zovere	-	=addGender("Zover", "v")	=IF(D315=B315, "Y", "N")	-
To Sing	Çimvymibe	Verb of Song	=createWord($C316, 0)	=IF(D316=B316, "Y", "N")	-
To Sit	Laksove	-	=addGender("Laksov", "v")	=IF(D317=B317, "Y", "N")	-
To Smile	Biłe	-	=addGender("Bił", "v")	=IF(D318=B318, "Y", "N")	Name of month 6 of the Zemian calendar
To Stabilise	Ƶtebe	Verb of Stable	=createWord($C319, 0)	=IF(D319=B319, "Y", "N")	Name of month 9 of the Zemian calendar
To Survive	Yopaçe	Verb of Survive	=createWord($C320, 0)	=IF(D320=B320, "Y", "N")	Name of month 13 of the Zemian calendar
To Swim	Sanapłyne	Verb of Swimmer	=createWord($C321, 0)	=IF(D321=B321, "Y", "N")	-
To Take	Napre	-	=addGender("Napr", "v")	=IF(D322=B322, "Y", "N")	-
To Thaw	Sūlpne	-	=addGender("Sūlpn", "v")	=IF(D323=B323, "Y", "N")	Name of month 3 of the Zemian calendar
To Thirst	Ciłeyne	Verb of Thirsty	=createWord($C324, 0)	=IF(D324=B324, "Y", "N")	Name of month 7 of the Zemian calendar
To Trade	Vanapre	To Give + To Take	=createWord($C325)	=IF(D325=B325, "Y", "N")	-
To Unite	Yopşede	Verb of Union	=createWord($C326, 0)	=IF(D326=B326, "Y", "N")	Name of month 14 of the Zemian calendar
To Use	Maƶie	-	=addGender("Maƶi", "v")	=IF(D327=B327, "Y", "N")	-
To Walk	Saşemure	Verb of Walker	=createWord($C328, 0)	=IF(D328=B328, "Y", "N")	-
To Want	Ƶapeyope	Some + To Have	=createWord($C329)	=IF(D329=B329, "Y", "N")	-
To Wear	Kyre	-	=addGender("Kyr", "v")	=IF(D330=B330, "Y", "N")	-
To Work	Łamure	Verb of Work	=createWord($C331, 0)	=IF(D331=B331, "Y", "N")	-
Together	Yopūç	-	Yopūç	=IF(D332=B332, "Y", "N")	-
Tool	Łana	-	=addGender("Łan", "f")	=IF(D333=B333, "Y", "N")	-
Tortoise	Kryałdeṉī	Armour + Animal	=createWord($C334, 3)	=IF(D334=B334, "Y", "N")	-
Towards	Ƶymurī	Of + Motion	=createWord($C335, 0)	=IF(D335=B335, "Y", "N")	-
Trade	Vanaprevī	M Instance of To Trade	=createWord($C336, 0)	=IF(D336=B336, "Y", "N")	Instance noun i.e. a trade
Tree	Ƶknabū	Plant + High	=createWord($C337, 3)	=IF(D337=B337, "Y", "N")	-
Trousers	Załurbo	Cloth + Legs	=createWord($C338, 1, 2)	=IF(D338=B338, "Y", "N")	-
Truth	Putna	-	=addGender("Putn", "f")	=IF(D339=B339, "Y", "N")	-
Twenty	Ładū-Pū	20	=numberWord(C340)	=IF(D340=B340, "Y", "N")	-
Two	Ładū	-	=addGender("Ład", "n")	=IF(D341=B341, "Y", "N")	Number
Undead	Ṉkraçu	Not + Dead	=createWord($C342, 1)	=IF(D342=B342, "Y", "N")	-
Union	Yopşeda	To Join + People	=addGender(createWord($C343, 2, 2), "F", true)	=IF(D343=B343, "Y", "N")	-
Until	Çiƶymurī	Time + Towards	=createWord($C344)	=IF(D344=B344, "Y", "N")	-
User	Maƶieşū	N Subject of To Use	=createWord($C345, 0)	=IF(D345=B345, "Y", "N")	-
Village	Mnoliamī	Many + House	=createWord($C346, 2, 3)	=IF(D346=B346, "Y", "N")	-
Walker	Saşemurī	Person + Motion	=createWord($C347)	=IF(D347=B347, "Y", "N")	-
Warmth	Ƶyṉeçū	Soft + Heart	=createWord($C348, 2, 5)	=IF(D348=B348, "Y", "N")	-
Water	Napłynī	Drink + Liquid	=createWord($C349, 6)	=IF(D349=B349, "Y", "N")	-
We	Poko	-	=addGender("Pok", "p")	=IF(D350=B350, "Y", "N")	-
Wet	Ƶynapłynī	Of + Water	=createWord($C351, 0)	=IF(D351=B351, "Y", "N")	-
White	Ciłeşenū	All + Light	=createWord($C352)	=IF(D352=B352, "Y", "N")	-
Whole	Ciłeta	-	=addGender("Ciłet", "f")	=IF(D353=B353, "Y", "N")	-
Will	Ciłeçima	All + Time	=createWord($C354)	=IF(D354=B354, "Y", "N")	It will happen in all of the possible futures
Wind	Nmurī	High + Motion	=createWord($C355, 3)	=IF(D355=B355, "Y", "N")	-
Winter	Pūƶna	-	=addGender("Pūƶn", "f")	=IF(D356=B356, "Y", "N")	Season
Within	Meyopam	Place + At	=createWord($C357, 5)	=IF(D357=B357, "Y", "N")	-
Without	Ṉy	Not + Of	=createWord($C358, 1, 1)	=IF(D358=B358, "Y", "N")	-
Woods	Saşknabū	Body + Tree	=createWord($C359, 3, 1)	=IF(D359=B359, "Y", "N")	-
Work	Łamurī	Tool + Motion	=createWord($C360)	=IF(D360=B360, "Y", "N")	-
World	Zemia	-	Zemia	=IF(D361=B361, "Y", "N")	-
Wurm	Ƶmī	-	=addGender("Ƶm", "m")	=IF(D362=B362, "Y", "N")	-
Yes	Pan	-	Pan	=IF(D363=B363, "Y", "N")	-
You_Plur	Puło	-	=addGender("Puł", "p")	=IF(D364=B364, "Y", "N")	You' defaults to assuming singular
You_Sing	Runa	-	=addGender("Run", "f")	=IF(D365=B365, "Y", "N")	You' defaults to assuming singular
Yourself	Çeruna	Meta + You_Sing	=createWord($C366)	=IF(D366=B366, "Y", "N")	-
Yourselves	Çepuło	Meta + You_Plur	=createWord($C367)	=IF(D367=B367, "Y", "N")	-
Zero	Pū	-	=addGender("P", "n")	=IF(D368=B368, "Y", "N")	Number
Jungle	Dētaşū	Shorthand for Dētaşknabū (the full word for Jungle)	Dētaşū	=IF(D369=B369, "Y", "N")	-
Language	Fira	-	Fira	=IF(D370=B370, "Y", "N")	-
Bar		-		=IF(D371=B371, "Y", "N")	As in metal bar or bar above a character (eg u -> ū). For the store: use 'table'
King	Saşedetī	Person + Law	=createWord($C372, 1, 4)	=IF(D372=B372, "Y", "N")	-
Emperor	Nabedetī	High + King	=createWord($C373, 1, 3)	=IF(D373=B373, "Y", "N")	-
Sun	Saşedū	King + Star	=createWord($C374, 3, 3)	=IF(D374=B374, "Y", "N")	-
Hair	Fūfī	-	=addGender("Fūf", "m")	=IF(D375=B375, "Y", "N")	-
Hole	Skami	Small + _Place	=createWord($C376, 3, 1)	=IF(D376=B376, "Y", "N")	-
Mouth	Çymi	Food + Hole	=createWord($C377, 2, 3)	=IF(D377=B377, "Y", "N")	-
Frost-King	Ciłedetī	Frost + King	=createWord($C378, 3, 3)	=IF(D378=B378, "Y", "N")	Name of religion centred around worthip of the winter god
Ṉkī	Ṉkī	-	Ṉkī	=IF(D379=B379, "Y", "N")	Minor nation in the Batsuri Isles
I'm	Ropa Uçe	I am	=CONCATENATE(EngToFira("I"), " ", EngToFira("Am"))	=IF(D380=B380, "Y", "N")	-
You're	Runa Uçe	You (s) are	=CONCATENATE(EngToFira("You_Sing"), " ", EngToFira("Are"))	=IF(D381=B381, "Y", "N")	-
He's	Renī Uçe	He is	=CONCATENATE(EngToFira("He"), " ", EngToFira("Is"))	=IF(D382=B382, "Y", "N")	-
She's	Rena Uçe	She is	=CONCATENATE(EngToFira("She"), " ", EngToFira("Is"))	=IF(D383=B383, "Y", "N")	-
It's	Renū Uçe	It is	=CONCATENATE(EngToFira("It"), " ", EngToFira("Is"))	=IF(D384=B384, "Y", "N")	-
We're	Poko Uçe	We are	=CONCATENATE(EngToFira("We"), " ", EngToFira("Are"))	=IF(D385=B385, "Y", "N")	-
You're	Puło Uçe	You (p) are	=CONCATENATE(EngToFira("You_Plur"), " ", EngToFira("Are"))	=IF(D386=B386, "Y", "N")	-
They're	Peło Uçe	They are	=CONCATENATE(EngToFira("They"), " ", EngToFira("Are"))	=IF(D387=B387, "Y", "N")	-
Share		Give + Some	=createWord($C388, 0, 0)	=IF(D388=B388, "Y", "N")	
			=createWord($C389, 0, 0)	=IF(D389=B389, "Y", "N")	
			=EngToFira("To Give")	=IF(D390=B390, "Y", "N")	
Descov Capital		Between + Lakes	Mīeramī	=IF(D391=B391, "Y", "N")	Temp name until transaltions for base words are done
Gnomish	Yenƶeca	-	Yenƶeca	=IF(D392=B392, "Y", "N")	
Crystal Mountain	Şūfmibū	Purple + Mountain	Şūfmibū	=IF(D393=B393, "Y", "N")	=createWord($C393, 1, 2) but with the ī replaced with an i
				=IF(D394=B394, "Y", "N")	
				=IF(D395=B395, "Y", "N")	
				=IF(D396=B396, "Y", "N")	
				=IF(D397=B397, "Y", "N")	
				=IF(D398=B398, "Y", "N")	
				=IF(D399=B399, "Y", "N")	
				=IF(D400=B400, "Y", "N")	
				=IF(D401=B401, "Y", "N")	
				=IF(D402=B402, "Y", "N")	